Coding_Hours,Coffee_Cups,Bugs_Fixed
7,3,35
4,4,26
11,6,57
8,7,48
5,4,27
7,3,32
10,6,56
3,3,11
7,5,39
11,6,55
11,4,54
8,4,36
5,5,31
4,2,21
8,4,41
8,5,39
3,3,16
6,2,30
5,3,25
2,3,8
8,5,40
12,8,67
6,5,33
2,1,6
12,6,58
5,4,27
1,0,1
12,6,64
10,6,51
6,3,29
12,7,61
9,4,38
1,0,5
11,7,56
11,7,50
10,5,45
12,5,57
12,6,63
3,2,18
12,6,61
7,6,40
4,2,21
9,4,44
3,4,17
5,4,25
3,1,14
7,5,35
5,2,18
9,6,49
7,6,41
2,0,2
4,2,16
9,4,45
12,7,58
2,2,12
10,5,52
9,3,40
10,4,49
5,2,22
2,2,11
4,1,19
12,6,62
12,5,54
7,4,32
12,8,59
8,5,47
3,4,18
1,1,3
4,2,20
2,1,5
8,5,40
4,2,20
2,1,7
6,2,24
6,3,28
10,5,48
4,5,24
6,4,27
2,2,7
10,5,53
12,10,64
2,1,9
10,5,49
4,3,20
8,5,41
7,3,32
12,7,60
9,6,51
8,5,39
5,4,26
2,4,18
5,3,24
8,5,40
10,3,44
9,7,53
12,7,64
12,6,56
12,6,64
9,6,41
1,2,2
9,5,41
7,5,34
9,5,44
8,5,38
1,1,2
12,7,63
8,4,38
8,5,44
11,5,56
3,2,16
1,0,5
8,4,39
3,1,10
3,2,11
1,0,0
11,6,58
5,3,26
10,7,44
7,4,37
10,6,51
9,7,47
12,6,57
7,4,34
9,6,51
8,4,39
12,8,61
2,1,16
1,0,6
7,5,40
7,4,38
8,6,47
5,3,27
3,2,16
12,6,60
8,4,35
6,3,23
11,7,60
3,2,21
1,2,6
3,2,20
5,3,30
3,2,14
1,3,13
5,2,25
10,6,51
7,5,39
7,3,34
11,7,52
9,6,55
10,4,44
10,7,54
12,6,65
3,2,15
7,5,35
1,2,8
4,1,16
4,4,27
5,4,25
7,5,36
7,4,35
11,6,52
4,1,16
7,2,30
11,7,54
3,3,16
6,3,32
12,6,53
2,2,15
10,5,48
9,5,46
5,2,27
6,4,29
12,8,65
12,7,58
12,6,55
12,7,61
4,3,21
11,7,60
10,5,45
7,3,35
12,6,58
9,5,45
7,5,31
1,0,3
1,0,6
9,5,45
11,5,52
9,4,49
4,5,25
9,4,38
3,3,13
7,4,40
6,4,30
8,4,42
11,7,56
9,5,47
5,3,24
1,1,5
3,3,19
10,6,48
12,7,62
8,5,42
11,4,47
6,4,39
8,4,38
9,6,44
4,2,24
1,1,2
1,3,8
10,5,50
4,1,16
12,9,67
7,3,35
2,0,5
3,1,18
1,2,7
5,4,28
1,3,8
8,5,40
1,0,3
11,5,59
1,1,7
2,1,6
2,3,14
12,5,56
6,2,30
7,4,35
5,3,21
1,1,7
1,0,1
3,3,19
2,2,14
5,2,23
12,6,59
10,6,52
6,2,26
7,5,38
4,2,20
7,4,33
11,6,59
8,3,32
11,5,56
1,2,12
6,6,38
8,3,34
5,4,30
4,3,28
2,4,15
6,3,29
6,4,34
11,6,53
1,2,3
9,7,51
12,7,62
11,5,50
6,5,35
3,3,16
4,3,23
12,8,64
11,5,54
4,2,19
3,3,12
10,5,45
3,2,21
3,3,22
4,3,21
7,3,35
4,3,16
9,6,43
1,1,0
8,5,38
7,3,32
2,2,14
8,3,37
1,2,8
11,6,54
12,5,57
9,7,48
9,6,48
2,1,1
7,5,37
10,5,49
3,1,19
7,3,34
12,5,62
10,6,49
9,5,43
4,3,27
12,4,55
1,1,3
2,1,10
1,1,6
12,7,65
5,3,23
5,3,28
11,6,61
7,4,39
9,5,51
9,6,48
3,2,17
3,1,11
3,1,21
4,3,24
8,5,42
6,5,33
8,4,33
1,0,0
8,5,38
4,2,18
11,6,57
1,1,8
8,5,41
4,3,22
6,5,33
8,6,47
4,3,19
3,0,11
9,4,44
3,3,15
9,5,41
2,4,17
2,1,16
2,4,16
6,3,32
3,2,14
9,4,45
4,3,17
1,0,0
4,2,21
1,1,5
5,1,17
4,2,18
8,6,46
8,5,40
7,3,27
3,2,21
1,1,6
1,0,8
12,7,63
11,5,52
3,1,15
6,5,34
7,5,43
6,2,31
6,3,32
6,5,35
3,2,16
6,3,28
8,4,43
11,6,54
11,6,55
2,1,10
5,3,24
1,0,2
12,5,58
1,0,3
5,3,30
12,7,57
3,1,15
4,1,16
3,1,12
1,2,0
1,1,3
12,6,61
12,6,57
5,4,26
6,3,29
3,1,14
12,5,62
9,5,45
5,3,34
8,3,45
1,2,12
5,2,27
3,0,13
12,8,68
1,1,12
4,3,22
5,5,30
7,3,36
1,1,5
3,3,22
2,1,6
9,6,49
10,4,44
6,3,29
10,4,45
3,3,17
8,4,34
8,4,41
2,1,8
6,2,31
7,3,33
2,1,12
11,6,54
10,5,52
2,1,16
10,5,47
1,0,6
8,4,36
1,1,5
9,5,40
11,6,57
6,2,26
7,4,38
10,6,52
7,5,37
10,4,50
3,2,19
2,3,12
9,5,49
8,4,39
12,6,51
10,6,52
7,2,30
9,5,44
4,2,13
4,2,20
1,1,3
8,4,38
12,7,65
3,1,7
7,5,39
12,7,63
2,3,14
2,1,13
7,4,38
6,4,32
3,2,13
9,7,48
10,4,47
6,4,25
10,5,48
10,5,53
6,5,32
1,0,6
4,3,24
10,4,51
6,5,33
6,3,29
11,6,56
12,5,55
5,3,23
1,0,7
8,6,41
5,3,27
12,6,61
12,6,59
12,5,58
5,5,32
7,5,42
4,2,17
6,6,33
4,2,19
3,3,19
7,5,38
8,4,45
4,3,19
2,2,7
12,5,59
10,6,52
3,3,17
1,0,6
8,4,35
3,1,8
12,6,53
10,5,47
7,6,43
10,5,45
5,2,24
10,5,50
5,1,26
7,2,29
9,4,41
12,7,65
5,3,22
1,2,11
10,4,49
10,5,44
1,0,5
2,2,13
6,2,27
9,5,44
8,5,46
5,3,18
1,0,0
7,6,38
5,3,27
6,2,27
7,5,35
3,3,19
12,6,54
10,7,55
3,1,13
5,3,28
6,4,33
9,7,52
12,5,56
5,5,27
1,2,8
4,3,17
5,2,30
12,6,64
10,6,47
10,6,52
5,3,29
7,4,34
4,3,19
1,0,7
5,3,30
7,3,29
10,5,50
10,7,53
6,3,24
5,2,19
4,2,17
2,1,10
4,3,25
10,6,43
10,7,54
3,1,11
10,6,53
1,2,11
8,6,47
5,2,23
4,0,14
8,4,43
7,7,41
2,0,8
1,1,4
12,4,57
11,8,55
4,1,17
8,2,36
12,7,65
2,2,11
3,3,10
12,7,60
1,0,8
1,1,6
3,1,11
11,5,50
5,3,27
12,8,61
3,1,14
1,1,3
1,1,3
8,4,38
10,5,49
11,5,53
12,7,61
12,6,63
2,2,10
3,1,18
2,2,11
3,1,12
7,5,38
1,0,6
10,6,49
8,3,33
10,5,52
10,5,54
10,5,51
2,0,5
3,2,15
9,4,40
7,4,39
4,2,20
10,6,53
5,3,26
2,3,14
11,5,54
8,4,39
4,6,31
9,5,41
5,4,25
9,6,46
4,5,25
10,4,51
5,1,17
9,4,45
8,5,41
3,1,16
1,0,5
3,1,13
4,3,19
2,1,11
1,2,6
7,3,33
8,5,44
7,4,40
5,3,21
12,7,64
1,3,13
7,5,37
7,4,32
9,6,49
3,3,17
9,7,60
1,1,7
1,1,4
4,4,19
9,3,39
6,3,32
11,7,52
3,3,12
1,0,6
4,1,16
12,4,55
9,6,49
3,2,15
12,8,59
9,5,44
7,6,41
12,6,60
4,2,24
3,2,17
10,5,47
5,3,30
5,3,30
3,2,13
12,6,61
9,6,49
4,2,21
11,5,49
5,3,34
4,2,18
5,2,25
7,2,34
9,6,46
7,5,41
5,4,27
10,6,50
10,7,49
7,3,32
10,4,49
5,2,23
3,2,17
7,4,40
11,7,57
11,6,59
2,4,16
12,7,62
9,5,46
10,6,53
10,6,49
12,7,59
1,0,2
6,4,26
7,7,38
8,4,39
10,5,48
9,4,43
2,2,13
11,7,58
10,4,47
2,0,2
5,1,22
5,5,27
6,3,32
3,2,13
8,4,36
1,2,12
6,4,26
4,3,27
1,0,4
7,5,36
9,6,46
4,3,24
4,1,18
6,2,28
12,8,63
3,4,18
12,6,63
6,3,28
7,4,32
11,7,58
10,4,43
10,6,56
3,1,15
7,4,29
3,1,15
2,1,8
12,7,65
10,5,49
4,1,17
12,8,62
8,3,37
9,3,35
7,5,36
1,1,2
3,2,14
12,7,65
9,6,52
12,8,64
1,1,4
9,4,39
8,5,40
1,2,4
6,5,33
5,3,25
6,3,30
10,5,50
12,6,54
5,1,19
6,4,29
5,3,24
11,6,56
12,7,59
5,4,37
4,2,23
3,2,12
3,2,19
4,3,26
9,5,42
2,3,10
9,6,48
1,1,9
1,1,6
5,3,20
6,4,29
6,4,30
3,2,18
7,4,31
9,4,40
11,6,56
12,6,59
10,6,54
8,4,38
6,5,37
12,7,64
8,5,41
12,5,56
5,4,33
8,4,41
10,7,53
12,7,59
4,2,23
10,5,48
8,5,40
10,6,49
12,5,56
2,1,11
12,7,60
12,6,59
5,2,21
9,5,47
4,3,21
11,6,52
6,5,33
1,1,6
9,4,42
1,0,0
5,4,31
4,1,14
12,7,63
3,1,12
6,3,29
2,2,11
3,1,17
5,3,26
9,4,44
2,1,6
10,5,54
8,4,35
2,2,15
11,5,48
5,3,31
7,4,37
8,3,36
1,0,0
6,3,29
1,1,7
2,1,10
1,2,6
11,6,53
5,3,29
10,5,49
9,5,47
6,5,35
11,7,54
11,7,57
1,1,9
1,2,8
2,3,15
9,5,44
3,2,19
1,0,9
5,3,23
7,5,40
6,3,25
12,5,59
1,1,7
5,3,22
5,2,26
6,4,29
3,2,21
5,4,28
7,4,35
5,5,27
5,3,27
5,2,25
10,5,50
10,4,45
3,2,15
1,1,3
5,3,20
9,4,43
1,0,0
3,2,22
4,3,27
1,1,7
1,0,0
8,3,39
2,2,11
12,6,63
8,4,43
7,5,35
10,5,48
10,7,52
2,1,8
6,3,25
6,5,35
3,2,16
11,5,53
2,2,12
12,6,60
1,0,7
6,4,34
12,6,63
5,1,19
11,5,50
9,7,52
1,1,11
7,5,40
5,3,26
5,4,28
2,2,20
11,5,56
3,3,17
7,3,39
6,4,37
12,7,57
2,2,8
6,3,29
2,2,15
2,1,8
2,0,4
11,4,54
3,1,8
2,2,10
4,3,18
9,5,45
6,4,29
1,2,7
8,5,43
12,7,62
7,4,34
10,5,48
3,2,22
1,3,12
5,2,23
4,3,22
10,4,49
8,4,37
1,2,8
10,4,44
1,2,5
12,9,68
4,3,25
8,6,47
5,3,25
2,2,10
6,4,32
5,2,18
2,1,14
11,7,49
11,6,58
11,6,53
3,2,15
9,5,43
7,3,31
7,4,28
11,6,52
6,2,30
8,5,38
4,2,16
8,5,41
4,5,19
8,4,38
9,4,44
3,2,17
3,2,12
11,5,57
2,0,11
10,5,44
3,2,18
3,2,16
5,4,29
5,4,26
2,2,8
12,5,57
10,6,53
6,5,35
5,4,29
6,3,26
1,1,10
5,3,29
9,6,48
12,6,57
10,5,50
2,1,8
1,1,4
10,6,54
11,6,54
9,4,48
